, ,Above threshold?,Chi^2,Correlation Coefficient,Good?,ROI,Shape-Binding,a,date,free or bound?,iFirst,iSecond,pthresh,realthreshold,stoichiometry,streak or spot?,wx,wy,x0,xpos,y0,ypos,z
33,,yes,7.104,0.22899999999999998,0,47,streak-free,59.458,20190127,free,31.285999999999998,31.285999999999998,34.554,40.431999999999995,5.17,streak,126.626,84.223,0.109,63.108999999999995,0.43799999999999994,78.438,31.56
34,,yes,6.888999999999999,0.233,0,50,streak-free,49.681000000000004,20190127,free,26.898000000000003,26.898000000000003,34.551,40.429,4.32,streak,28.636999999999997,90.63,0.0,22.0,-0.359,9.641,32.153
35,,yes,7.605,0.243,0,51,spot-free,42.035,20190127,free,31.081999999999997,31.081999999999997,34.496,40.369,3.655,spot,153.188,186.012,0.43799999999999994,24.438000000000002,-0.359,28.641,30.139
36,,no,6.447,0.19699999999999998,0,52,streak-free,35.092,20190127,free,33.796,33.796,34.541,40.418,3.052,streak,22.768,22.768,0.0,26.0,0.0,17.0,33.952
37,,yes,6.745,0.27,0,54,spot-free,43.452,20190127,free,30.061,30.061,34.498000000000005,40.371,3.778,spot,155.64,169.49,0.188,79.188,-0.21899999999999997,78.781,30.517
38,,no,6.131,0.225,0,56,streak-free,37.12,20190127,free,30.408,30.408,34.468,40.338,3.228,streak,22.768,143.007,0.0,29.0,-0.062,90.93799999999999,30.97
39,,yes,8.057,0.276,0,57,streak-free,48.373999999999995,20190127,free,27.531,27.531,34.465,40.336,4.206,streak,80.834,22.768,0.32799999999999996,38.328,0.0,24.0,32.058
40,,yes,7.291,0.256,0,58,streak-free,60.25899999999999,20190127,free,26.592,26.592,34.419000000000004,40.286,5.24,streak,22.768,86.60700000000001,0.0,53.0,0.43799999999999994,84.43799999999999,30.195
41,,yes,7.082999999999999,0.267,0,59,streak-free,43.166000000000004,20190127,free,31.857,31.857,34.464,40.335,3.7539999999999996,streak,94.97,22.768,-0.344,61.656000000000006,0.0,20.0,34.096
42,,yes,6.303999999999999,0.20800000000000002,0,61,streak-free,45.927,20190127,free,30.305999999999997,30.305999999999997,34.512,40.387,3.9939999999999998,streak,85.931,22.768,-0.375,85.625,0.0,8.0,34.32
43,,no,7.6370000000000005,0.23,0,64,streak-free,36.97,20190127,free,29.02,29.02,34.499,40.373000000000005,3.215,streak,44.948,138.359,0.062,24.061999999999998,0.109,76.109,31.613000000000003
44,,no,7.19,0.23800000000000002,0,69,Undefined-free,36.025,20190127,free,30.449,30.449,34.51,40.385,3.133,Undefined,22.768,156.125,0.0,85.0,0.297,43.297,32.738
45,,yes,7.742999999999999,0.23600000000000002,0,71,streak-free,51.714,20190127,free,26.326999999999998,26.326999999999998,34.501,40.375,4.497,streak,148.29399999999998,79.765,0.484,10.484000000000002,-0.32799999999999996,86.67200000000001,31.745
46,,yes,6.612,0.179,0,73,streak-free,55.157,20190127,free,30.51,30.51,34.52,40.395,4.796,streak,85.40700000000001,93.507,-0.25,37.75,-0.359,12.640999999999998,31.714000000000002
47,,yes,5.869,0.213,0,75,streak-free,55.333,20190127,free,29.755,29.755,34.536,40.412,4.812,streak,93.554,81.319,-0.359,65.641,0.297,46.297,33.039
48,,no,6.931,0.22399999999999998,0,82,Undefined-free,30.568,20190127,free,27.939,27.939,34.524,40.399,2.658,Undefined,22.768,195.264,0.0,88.0,-0.078,66.922,31.619
49,,no,8.351,0.23199999999999998,0,89,streak-free,27.974,20190127,free,28.570999999999998,28.570999999999998,34.486,40.358000000000004,2.4330000000000003,streak,433.714,23.875999999999998,0.047,20.047,0.0,84.0,30.21
