, ,Above threshold?,Chi^2,Correlation Coefficient,Corresponding ROI1,Corresponding ROI2,Good?,N1,N10,N2,N3,N4,N5,N6,N7,N8,N9,RK 1,RK 10,RK 2,RK 3,RK 4,RK 5,RK 6,RK 7,RK 8,RK 9,ROI,ROI1,ROI2,Shape-Binding,a,date,free or bound?,iFirst,iSecond,pthresh,realthreshold,run1,run2,spot1,spot2,stoichiometry,streak or spot?,streak1,streak2,wx,wy,x0,xpos,xpos1,xpos2,y0,ypos,ypos1,ypos2,z
1,2,yes,32.61,1.01,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,spot-bound,304.259,20190127,bound,106.65299999999999,106.65299999999999,37.461999999999996,43.583,,,,,50.71,spot,,,431.60699999999997,281.046,-0.031,13.969000000000001,,,-0.43799999999999994,11.562000000000001,,,25.436
2,3,yes,64.12899999999999,1.0090000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,6.0,,,streak-bound,223.24099999999999,20190127,bound,41.224,41.224,28.849,34.22,,,,,37.207,streak,,,281.25,23.305999999999997,0.406,19.406,,,-0.016,29.984,,,69.32300000000001
0,1,yes,47.23,1.006,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,streak-bound,290.231,20190127,bound,34.959,34.959,36.334,42.361000000000004,,,,,48.372,streak,,,316.736,25.467,-0.297,29.703000000000003,,,0.0,62.0,,,35.134
1,2,yes,47.243,1.012,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,spot-bound,230.623,20190127,bound,96.163,96.163,40.191,46.531000000000006,,,,,38.437,spot,,,346.228,302.27,-0.562,65.438,,,-0.141,14.859000000000002,,,42.848
2,3,yes,43.413000000000004,1.0090000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,5.0,,,streak-bound,280.32,20190127,bound,60.51,60.51,28.401999999999997,33.731,,,,,46.72,streak,,,387.5,131.775,0.031,64.031,,,-0.047,29.953000000000003,,,41.833
3,4,yes,39.569,1.012,,,0.0,,,,,,,,,,,,,,,,,,,,,9.0,,,streak-bound,177.678,20190127,bound,20.082,20.082,30.315,35.821,,,,,29.613000000000003,streak,,,272.394,73.18,0.0,65.0,,,0.25,36.25,,,30.475
4,5,yes,4.842,1.01,,,0.0,,,,,,,,,,,,,,,,,,,,,13.0,,,streak-bound,136.289,20190127,bound,14.02,14.02,27.471,32.711999999999996,,,,,22.715,streak,,,444.12199999999996,22.768,0.25,42.25,,,0.0,70.0,,,3.514
0,1,yes,5.782,1.042,,,0.0,,,,,,,,,,,,,,,,,,,,,14.0,,,Undefined-bound,28.421999999999997,20190127,bound,5.7139999999999995,5.7139999999999995,8.666,11.61,,,,,4.737,Undefined,,,492.18800000000005,264.551,-0.109,11.890999999999998,,,-0.23399999999999999,34.766,,,0.27
1,2,yes,0.183,1.06,,,1.0,,,,,,,,,,,,,,,,,,,,,17.0,,,streak-bound,44.758,20190127,bound,5.102,5.102,7.187,9.868,,,,,7.46,streak,,,447.32300000000004,93.24700000000001,-0.42200000000000004,19.578,,,-0.406,7.593999999999999,,,0.071
0,1,yes,1.787,1.02,,,1.0,,,,,,,,,,,,,,,,,,,,,10.0,,,streak-bound,99.208,20190127,bound,15.265,15.265,12.251,15.752,,,,,16.535,streak,,,464.276,122.025,0.203,27.203000000000003,,,0.078,32.078,,,0.552
0,1,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,20190127,,,,,,1.0,2.0,0.0,0.0,,,1.0,1.0,,,,,27.203000000000003,27.203000000000003,,,32.078,32.078,
0,1,yes,58.093999999999994,1.0070000000000001,,,0.0,,,,,,,,,,,,,,,,,,,,,5.0,,,streak-bound,412.914,20190127,bound,57.93899999999999,57.93899999999999,16.102,20.114,,,,,68.819,streak,,,435.059,78.828,0.391,34.391,,,-0.45299999999999996,87.54700000000001,,,54.441
