, ,Above threshold?,Chi^2,Correlation Coefficient,"Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010070/, redtitle: 20190127010070.bin.counts_ch1.stack.tif","Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010071/, redtitle: 20190127010071.bin.counts_ch1.stack.tif","Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010080/, redtitle: 20190127010080.bin.counts_ch1.stack.tif",Good?,ROI,Shape-Binding,a,date,free or bound?,iFirst,iSecond,pthresh,realthreshold,stoichiometry,streak or spot?,wx,wy,x0,xpos,y0,ypos,z
2,3.0,yes,0.363,1.0090000000000001,,,,1.0,3.0,spot-bound,312.52,20190127.0,bound,41.816,41.816,2.309,3.8289999999999997,27.176,spot,203.125,207.468,-0.42200000000000004,29.578000000000003,-0.344,73.656,0.0
0,1.0,yes,0.662,1.012,,,,1.0,1.0,spot-bound,314.183,20190127.0,bound,77.633,77.633,2.48,4.055,27.32,spot,279.018,283.413,-0.375,77.625,0.172,34.172,0.18
1,2.0,yes,0.746,1.012,,,,1.0,2.0,spot-bound,305.49,20190127.0,bound,76.061,76.061,2.532,4.124,26.564,spot,288.319,276.718,0.42200000000000004,64.422,-0.125,50.875,0.285
2,3.0,yes,0.67,1.013,,,,1.0,3.0,spot-bound,295.073,20190127.0,bound,73.347,73.347,2.49,4.0680000000000005,25.659000000000002,spot,288.319,279.018,-0.062,68.938,-0.42200000000000004,18.578,0.10400000000000001
3,4.0,yes,0.7490000000000001,1.014,,,,1.0,4.0,spot-bound,285.08,20190127.0,bound,73.22399999999999,73.22399999999999,2.472,4.044,24.79,spot,292.89599999999996,281.25,-0.125,12.875,-0.281,19.719,0.11900000000000001
0,1.0,yes,0.8909999999999999,1.012,,,,1.0,1.0,spot-bound,305.747,20190127.0,bound,74.265,74.265,2.524,4.112,26.587,spot,281.25,278.906,0.312,16.312,0.45299999999999996,51.453,0.22399999999999998
1,2.0,yes,0.715,1.013,,,,1.0,2.0,spot-bound,299.888,20190127.0,bound,74.429,74.429,2.521,4.109,26.076999999999998,spot,281.25,283.814,-0.344,35.656,0.359,14.359000000000002,0.218
2,3.0,yes,0.855,1.013,,,,1.0,3.0,spot-bound,290.642,20190127.0,bound,72.286,72.286,2.5180000000000002,4.105,25.273000000000003,spot,283.277,281.25,-0.125,49.875,0.125,90.125,0.213
3,4.0,yes,1.078,1.013,,,,1.0,4.0,spot-bound,300.03700000000003,20190127.0,bound,74.469,74.469,2.557,4.156000000000001,26.09,spot,281.25,283.413,-0.25,43.75,0.281,64.281,0.37200000000000005
0,1.0,yes,0.9940000000000001,1.012,,,,1.0,1.0,spot-bound,293.341,20190127.0,bound,72.449,72.449,2.494,4.074,25.508000000000003,spot,278.906,285.645,-0.156,44.843999999999994,0.203,57.203,0.19399999999999998
1,2.0,yes,0.8220000000000001,1.013,,,,1.0,2.0,spot-bound,304.534,20190127.0,bound,74.694,74.694,2.492,4.071000000000001,26.480999999999998,spot,281.181,279.053,-0.266,63.733999999999995,0.172,88.17200000000001,0.19
2,3.0,yes,1.075,1.013,,,,1.0,3.0,spot-bound,307.968,20190127.0,bound,76.531,76.531,2.536,4.128,26.78,spot,278.906,283.447,-0.297,21.703000000000003,0.0,39.0,0.32299999999999995
0,1.0,yes,6.388999999999999,1.015,,,,0.0,1.0,spot-bound,362.606,20190127.0,bound,135.878,135.878,5.061,7.31,31.531,spot,290.108,468.475,0.078,87.07799999999999,-0.312,71.688,2.761
1,2.0,yes,0.895,1.013,,,,1.0,2.0,spot-bound,301.32099999999997,20190127.0,bound,75.286,75.286,3.7889999999999997,5.736000000000001,26.201999999999998,spot,283.447,283.413,0.266,50.266000000000005,0.016,71.016,0.218
2,3.0,yes,0.8640000000000001,1.013,,,,1.0,3.0,spot-bound,301.123,20190127.0,bound,74.51,74.51,3.427,5.279,26.185,spot,281.25,281.25,-0.297,23.703000000000003,-0.375,10.625,0.40299999999999997
0,1.0,yes,0.728,1.012,,,,1.0,1.0,spot-bound,300.995,20190127.0,bound,73.531,73.531,2.542,4.136,26.174,spot,278.906,281.25,0.203,85.20299999999999,0.047,67.047,0.242
1,2.0,yes,0.9640000000000001,1.012,,,,1.0,2.0,spot-bound,298.84,20190127.0,bound,72.796,72.796,2.454,4.021,25.986,spot,278.906,283.413,-0.484,41.516000000000005,0.42200000000000004,45.422,0.066
2,3.0,yes,0.997,1.012,,,,1.0,3.0,spot-bound,305.617,20190127.0,bound,74.796,74.796,2.5180000000000002,4.105,26.575,spot,281.25,279.053,0.0,22.0,-0.32799999999999996,60.672,0.34600000000000003
3,4.0,yes,0.5539999999999999,1.013,,,,1.0,4.0,spot-bound,296.057,20190127.0,bound,71.816,71.816,2.511,4.096,25.744,spot,283.447,276.693,-0.469,25.531,-0.188,90.81200000000001,0.19
