, ,Above threshold?,Chi^2,Correlation Coefficient,"Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010071/, redtitle: 20190127010071.bin.counts_ch0.stack.tif","Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010080/, redtitle: 20190127010080.bin.counts_ch0.stack.tif",Good?,ROI,Shape-Binding,a,date,free or bound?,iFirst,iSecond,pthresh,realthreshold,run,spot,stoichiometry,streak,streak or spot?,wx,wy,x0,xpos,y0,ypos,z
3,4.0,yes,0.545,1.013,,,1.0,4.0,spot-bound,298.893,20190127.0,bound,73.633,73.633,1.469,2.681,,,49.816,,spot,281.25,281.25,-0.391,80.609,0.42200000000000004,74.422,0.247
0,1.0,yes,2.3369999999999997,1.013,,,0.0,1.0,spot-bound,309.005,20190127.0,bound,73.571,73.571,4.831,7.029,,,51.501000000000005,,spot,272.461,264.519,0.047,11.047,0.391,30.391,3.6310000000000002
1,2.0,yes,0.843,1.013,,,1.0,2.0,spot-bound,295.607,20190127.0,bound,73.102,73.102,3.127,4.895,,,49.268,,spot,281.61400000000003,283.378,0.312,46.312,-0.375,88.625,0.223
2,3.0,yes,0.848,1.013,,,1.0,3.0,spot-bound,296.765,20190127.0,bound,73.469,73.469,2.549,4.146,,,49.461000000000006,,spot,279.018,285.645,-0.094,27.906,0.047,43.047,0.19399999999999998
0,1.0,yes,0.7959999999999999,1.012,,,1.0,1.0,spot-bound,315.416,20190127.0,bound,77.306,77.306,1.413,2.602,,,52.568999999999996,,spot,278.906,281.25,-0.062,12.937999999999999,0.156,86.156,0.213
1,2.0,yes,0.713,1.013,,,1.0,2.0,spot-bound,294.66200000000003,20190127.0,bound,74.122,74.122,1.396,2.577,,,49.11,,spot,283.277,283.447,0.0,8.0,-0.23399999999999999,11.765999999999998,0.17800000000000002
2,3.0,yes,0.8290000000000001,1.013,,,1.0,3.0,spot-bound,291.67400000000004,20190127.0,bound,72.571,72.571,1.402,2.585,,,48.611999999999995,,spot,278.906,285.645,0.188,9.187999999999999,0.23399999999999999,60.233999999999995,0.213
3,4.0,yes,0.993,1.013,,,1.0,4.0,spot-bound,294.751,20190127.0,bound,74.143,74.143,1.405,2.59,,,49.125,,spot,285.507,283.447,0.141,27.141,-0.156,74.844,0.213
0,1.0,yes,0.968,1.013,,,1.0,1.0,spot-bound,296.467,20190127.0,bound,73.592,73.592,1.432,2.6289999999999996,,,49.411,,spot,283.447,281.046,-0.078,59.922,0.25,62.25,0.23199999999999998
1,2.0,yes,0.7759999999999999,1.012,,,1.0,2.0,spot-bound,313.189,20190127.0,bound,74.878,74.878,1.4769999999999999,2.693,,,52.198,,spot,274.41200000000003,279.018,0.32799999999999996,80.328,0.42200000000000004,56.422,0.32299999999999995
2,3.0,yes,0.8490000000000001,1.013,,,1.0,3.0,spot-bound,294.055,20190127.0,bound,74.163,74.163,1.413,2.602,,,49.00899999999999,,spot,283.413,286.084,-0.516,10.484000000000002,-0.062,75.938,0.085
3,4.0,yes,0.693,1.013,,,1.0,4.0,spot-bound,297.778,20190127.0,bound,74.184,74.184,1.4380000000000002,2.637,,,49.63,,spot,283.413,281.25,0.266,58.266000000000005,0.109,35.109,0.31
4,5.0,yes,0.963,1.013,,,1.0,5.0,spot-bound,291.218,20190127.0,bound,72.673,72.673,1.4509999999999998,2.655,,,48.536,,spot,283.447,283.413,0.391,85.391,0.266,69.266,0.304
0,1.0,yes,1.124,1.018,,,1.0,1.0,spot-bound,310.98900000000003,20190127.0,bound,109.755,109.755,2.362,3.8989999999999996,,,51.832,,spot,337.874,352.648,0.25,78.25,0.094,59.093999999999994,1.162
